user_id,item_list
0,3569 10227 6530 6404 6289 3572 5113 3565 5700 8638 
1,7259 16148 16460 8470 18073 15892 11260 183 6811 6280 
2,4657 4658 11734 735 739 11733 737 13837 5732 17550 
4,4634 4728 4638 4637 13393 9461 14225 4731 1943 18191 
5,9641 6798 12196 4013 12195 12194 6794 5645 3146 10270 
6,14912 13554 10359 345 9625 4732 17309 11750 14283 5590 
7,6798 4057 5112 10469 4977 7174 11222 10466 6780 9014 
8,5192 4526 5189 4527 5190 18140 5174 4771 18063 18070 
9,9303 4082 4083 5297 4432 5294 5301 8483 4086 4844 
10,3901 13416 8478 6288 12557 4348 6738 16097 4210 18422 
11,18360 2730 4767 9196 17987 4784 6081 5192 3692 4770 
12,3529 4705 4722 3534 3528 4721 3536 3533 9476 6986 
13,4785 1023 4779 4487 5133 5191 5144 4784 4480 5135 
14,5725 7885 6201 6200 4702 3565 3572 9302 16463 7887 
15,18301 18299 12194 17661 4691 7493 10232 3991 6135 394 
16,9202 9204 9201 12469 9712 9205 7602 5297 9208 9446 
17,3251 7326 5645 5296 187 15892 17955 5756 6650 5128 
18,8347 1689 1691 3105 7326 9641 4440 12368 8257 6546 
19,7190 8306 6289 10067 4458 10227 7195 17835 9714 4310 
20,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
21,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
22,3565 3572 9208 3576 3566 3595 6526 6202 7368 7592 
23,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,7496 12257 4019 3654 3655 4010 5752 5736 12355 12358 
26,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
27,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
28,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
29,10167 4082 3105 4057 4081 12705 14847 5645 5143 6292 
30,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
31,15102 15099 12469 15100 4747 8414 8666 6526 2301 3565 
32,2519 2708 12341 3094 13206 3146 14779 11393 6661 4310 
33,6170 5112 4287 6173 6292 6289 7310 4844 8481 4057 
34,4280 17748 15706 3785 8473 5593 16307 8635 5671 194 
35,4634 4658 10466 6794 8483 3516 5297 3514 7172 5113 
36,16232 3983 5296 5294 18181 15892 5297 7258 189 16428 
39,18153 4844 8505 8481 5113 5297 5112 6292 6793 6289 
40,5089 4191 16137 4187 661 7997 4284 10157 10158 4033 
41,3922 4361 17955 8481 5113 6289 197 8982 10466 6292 
42,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
43,724 12469 15118 13202 8526 15101 8306 5508 15496 15099 
44,11403 14113 3698 14465 386 9655 290 149 15751 14746 
45,10194 18301 18299 4795 3655 7496 7493 4792 1932 5737 
46,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
47,4497 15768 5186 1241 18270 2694 1041 6786 15594 4448 
48,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
49,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
50,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
51,7581 2301 10227 5294 14847 5113 6289 5143 4844 6404 
52,3568 3569 15120 15119 15114 9477 13202 7437 4657 12469 
53,725 3805 5562 3806 5508 5561 7706 4748 7823 3827 
54,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
55,5297 5296 15892 17955 9236 3823 10141 7153 7323 5293 
56,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
57,724 5508 5562 5695 3805 3387 6686 7627 17507 16485 
59,724 5508 5562 5695 3805 3387 6686 7627 17507 16485 
60,4128 8854 6356 5101 8853 8856 11653 4214 10696 6798 
61,15114 15100 15099 12469 9477 8414 5897 9461 3568 9709 
62,5562 7655 3626 4440 5561 7706 5508 3629 4748 8984 
63,4280 197 192 194 187 6172 6171 4410 8481 5593 
64,4346 6117 3572 3565 4967 6118 4359 16376 5291 6526 
65,5562 10466 17750 3805 5561 17752 16099 3554 4627 8483 
66,4486 18183 10843 4485 4513 3368 4355 12849 5295 5133 
67,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
68,17955 4361 3922 5297 8638 8982 15892 4634 4657 3806 
69,4128 5715 2301 5113 5143 3565 5142 11301 8668 12469 
71,4657 3529 9199 9206 4658 9204 3531 3530 9202 9201 
72,11166 7116 7118 9599 7357 1879 11011 3899 12525 5878 
74,4703 197 192 12815 187 10227 194 11733 8347 735 
75,9202 15102 15100 12469 7581 9205 9448 15227 5190 7496 
76,8638 10227 12469 6289 4657 5113 8666 2301 197 9461 
77,7823 4019 4018 7135 4275 5645 8872 3008 13967 15950 
78,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
79,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
80,7496 7493 7495 3654 3655 5752 5737 5736 10451 11163 
81,13484 15173 8393 17158 3429 985 13452 232 9048 5847 
82,8638 12469 10067 4657 5142 5113 15892 4634 2301 8666 
84,8506 8563 8570 4361 3572 3565 8569 17559 10067 10163 
85,5895 17559 3898 10227 5896 8638 8668 6292 6018 12469 
86,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
87,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
88,11403 9446 10636 14847 13348 14113 2835 3698 12199 3426 
89,3852 7771 17601 12532 15655 939 17965 18318 6231 8171 
90,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
92,4361 3922 17955 8982 3806 197 5113 4657 10466 15892 
