user_id,item_list
0,10227 3569 6404 6530 5562 6289 3572 5113 8638 5700 
1,7259 18073 15892 5113 6228 8470 15971 16460 16148 4184 
2,4657 4658 11734 11733 735 737 739 5700 15908 8666 
4,4634 4728 8666 10067 9461 4731 4638 4637 8306 4568 
5,12194 6798 5645 2906 6794 4013 10466 9641 5297 15892 
6,10945 7135 14135 7947 652 6484 10230 2251 13535 829 
7,6289 10466 12469 4057 6798 10469 4634 7310 6808 5297 
8,5192 5189 5190 4527 4526 2301 10067 4657 4771 189 
9,9303 3572 8982 7581 12469 4844 3565 8638 4687 7602 
10,3901 8478 4325 16178 16376 3842 4357 5297 4210 16097 
11,17989 18360 4767 6782 8132 7817 15900 2826 2729 7581 
12,3529 3534 9476 4722 9477 3528 3536 3533 3527 8179 
13,1023 4785 5142 4779 4487 5133 5191 4762 5147 2301 
14,3565 3572 4702 7885 9302 6203 6201 12469 8982 10067 
15,12194 18301 18299 4691 3991 187 10232 7493 17661 5742 
16,9206 9202 9204 9201 12469 7581 8638 9446 15119 8982 
17,3251 7326 3922 2301 5128 4361 4657 5143 6650 18185 
18,8347 3105 8638 6289 8257 8483 1689 10141 1691 15892 
19,6289 10067 10227 8306 7190 192 6228 10466 8483 1212 
20,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
21,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
22,3565 3572 3593 8414 6202 8982 8445 8666 6526 9461 
23,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
25,7496 7493 4019 5113 12257 5297 3842 12259 12355 5044 
26,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
27,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
28,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
29,14847 10167 3105 6292 5143 5645 4057 10466 15892 17955 
30,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
31,15102 15099 15100 12469 4747 8666 7581 8414 6526 17558 
32,2519 11395 2708 13206 14779 3146 10012 12341 7594 3572 
33,6292 6289 5112 4844 8481 6172 8638 6404 6171 5645 
34,4280 17748 15706 10068 7581 8473 5593 197 6404 7662 
35,4634 4658 10466 9461 5296 6794 6292 15223 5645 7172 
36,5297 5296 15892 16232 5294 2301 189 5113 18181 197 
39,4844 18153 6292 6404 6289 5113 8638 5562 8505 4057 
40,5089 4191 16137 4187 4284 661 4033 16578 10157 7336 
41,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
42,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
43,12469 15118 7581 15119 13202 8414 8526 8666 8306 6526 
44,11403 9655 14465 14746 6057 14113 13239 3698 545 2978 
45,8666 7496 4795 7495 5737 7493 3842 3655 197 8445 
46,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
47,14045 4838 6901 4497 14415 14452 18231 18230 15200 5101 
48,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
49,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
50,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
51,7581 2301 10227 5113 6289 4844 8445 14847 5143 6404 
52,3568 3569 15120 15119 4657 12469 9461 15099 5897 15114 
53,725 3805 5562 3806 1212 5508 7706 5561 4748 5661 
54,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
55,5297 5296 17955 15892 4035 9236 10141 5301 3940 7323 
56,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
57,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
59,724 5562 3805 5508 3806 10067 5695 5044 197 3572 
60,4128 8854 8856 8853 5101 4214 6356 4209 2834 11852 
61,15114 9461 9477 6404 12469 5897 15101 3568 6289 7581 
62,4440 3626 7659 3629 4439 3624 3554 18157 5189 5192 
63,197 4280 192 194 187 10067 17955 7581 6404 4687 
64,3572 3565 4346 6526 15908 7581 17955 16376 10067 5562 
65,10466 5562 3805 17752 10067 4627 7310 8483 10227 10068 
66,4486 10843 5455 5296 6201 4513 8984 18183 5192 5297 
67,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
68,17955 8638 5113 10227 4657 197 8982 10466 3922 4361 
69,4128 2301 3565 3572 8638 8666 12469 5143 1212 5715 
71,9199 3565 3572 8638 7581 9204 3593 9206 14847 9202 
72,12328 12327 12334 12333 12332 12331 12330 12329 12336 12324 
